%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1758482434221921100,5013,1758482434221481408,base_link,-0.0006997375972539512,0.016524571893221082,-4.0975239332495906e-05,-0.9998632142508646,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0009222528897225857,0.0193221066147089,-0.0005929849576205039,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0784532,1.2033701897924109e-15,9.8262633,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482434472569900,5014,1758482434471601216,base_link,-0.0004676663320688401,0.013704951469281145,-4.446473817476453e-05,-0.999905972387561,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0028835025150328875,0.02355332113802433,-0.0006533295381814271,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0588399,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482434718184100,5015,1758482434720764288,base_link,-0.0003407580222736512,0.010572072419796939,-3.790738919434646e-05,-0.9999440553009706,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0018981369212269783,0.025624267756938934,-0.0006416449323296578,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.02941995,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482434968944900,5016,1758482434970877952,base_link,-0.00016453554486477902,0.007547939061275673,-3.0006669357040644e-05,-0.9999714999156635,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0008623553439974785,0.022019321098923683,-0.0006699759978801039,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0196133,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482435219818700,5017,1758482435221050240,base_link,0.00011175927021371075,-0.022220545749599915,-2.4797309966019506e-05,-0.99975308663767,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.3600331991910934e-05,0.49497926235198975,-0.0006368830800057064,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482435470459600,5018,1758482435471159040,base_link,0.00018569992621639137,-0.07296281888317316,-2.5448371157814648e-05,-0.9973346439027069,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000728535233065486,0.02155405469238758,-0.0005036285147070911,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482435721411400,5019,1758482435721330560,base_link,0.00020452166573493383,-0.042473369214184625,-4.077212108455613e-05,-0.9990975775248971,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0005396362394094467,-0.30417516827583313,-0.0006975985597818717,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.06864655,1.2141789040719834e-15,9.91452315,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482435972276200,5020,1758482435971450880,base_link,-0.00022626952632232144,-0.012202273128229087,-6.50318781226796e-05,-0.9999255217782275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002311358228325844,-0.1851675659418106,-0.0006282180547714007,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.14709975,1.2057721262989826e-15,9.8458766,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482436222929400,5021,1758482436222614208,base_link,-0.0005603793874508636,0.005250089146262722,-0.00010174065831419744,-0.9999860559966508,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001989180687814951,-0.10527437180280685,-0.0007015366572886576,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.16671305,1.2009682532858392e-15,9.80665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758482436473827900,5022,1758482436472729408,base_link,-0.000771264568038657,0.014588653359330177,-0.00011079865494173413,-0.9998932763389228,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0012224544771015644,-0.05231153219938278,-0.001032135915011161,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.16671305,1.202169221539125e-15,9.81645665,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
