%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1760177432965413400,10990,1760177432956075136,base_link,0.00969034992158413,0.008098931051790714,0.0009082364849746227,-0.041352261940513516,0.03412663020138501,-0.0012850491663829334
1760177433210566600,10991,1760177433206180608,base_link,-0.026755357161164284,-0.024342231452465057,0.0003681377274915576,-0.25454696348859635,0.25175827595117667,-0.0011831418105508608
1760177433460731200,10992,1760177433457347008,base_link,0.08838067203760147,0.09567514061927795,-0.00212284317240119,-0.4233892280886577,0.4240608220230037,-0.0014030747495272628
1760177433711617200,10993,1760177433706456832,base_link,0.44269439578056335,0.45535436272621155,-0.006190878804773092,-0.27500859041972386,0.27788318935320466,-0.0014280488783380407
1760177433963164700,10994,1760177433956621184,base_link,0.9248958826065063,0.9419368505477905,-0.000326702807797119,-0.005383875988529227,0.008182138121144296,-0.0007090567145226911
1760177434212464300,10995,1760177434206733056,base_link,1.3288744688034058,1.3489879369735718,0.009064732119441032,0.36937037560107755,-0.36468040665301793,-0.0010528292774019635
1760177434463362600,10996,1760177434456892800,base_link,1.492074728012085,1.5138100385665894,0.008344721980392933,0.29896943375212554,-0.28904653724034074,-0.0012525567305208618
1760177434714470000,10997,1760177434707000064,base_link,1.4729725122451782,1.493291974067688,0.0007384357159025967,0.17696784298467083,-0.17333464787785266,-0.000692142791306688
1760177434966136300,10998,1760177434957160832,base_link,1.354541540145874,1.3718363046646118,-0.004438524134457111,0.13563822836433498,-0.13123886952866862,-0.0008459298307925162
1760177435212113100,10999,1760177435207271424,base_link,1.1705483198165894,1.183101773262024,-0.005796314682811499,0.1129853806748467,-0.11107894686901619,-0.0009445193186823103
1760177435461002800,11000,1760177435458433472,base_link,0.9418819546699524,0.9495851993560791,-0.0040339818224310875,0.043723021627945,-0.04130914076379109,-0.000575830398980731
1760177435713043100,11001,1760177435707547392,base_link,0.7063628435134888,0.7083005905151367,-0.001327205915004015,-0.011323270967893442,0.005511818913919813,-0.0010292997612189646
1760177435964480600,11002,1760177435957701504,base_link,0.4938505291938782,0.4912617802619934,0.0005602801102213562,-0.036617549869791835,0.03296428274078539,-0.0006171484730761411
1760177436214492400,11003,1760177436207810304,base_link,0.31683897972106934,0.3114002048969269,0.0019312198273837566,-0.052268890404245226,0.04842220289139012,-0.0006832287944523721
1760177436465706700,11004,1760177436457973632,base_link,0.1791645735502243,0.17327134311199188,0.0016032010316848755,-0.053816237833442894,0.0500252343725361,-0.000784098463401525
1760177436716694100,11005,1760177436708077056,base_link,0.07850629836320877,0.07344944775104523,0.0013467069948092103,-0.047346425313850186,0.0445166992486071,-0.0010921782437114161
1760177436966640700,11006,1760177436958188416,base_link,0.009867186658084393,0.0070142000913619995,0.0008209433290176094,-0.040391716342109175,0.0343431044386102,-0.001243457002832017
1760177437212930500,11007,1760177437208304128,base_link,-0.024693384766578674,-0.024125276133418083,0.00028644606936722994,-0.26568780521171476,0.26258933331894346,-0.0011153267376475444
1760177437463449500,11008,1760177437458461312,base_link,0.09549406170845032,0.1008496806025505,-0.0022403961047530174,-0.4234163153347795,0.4236987750991687,-0.0012604926897224972
1760177437714588100,11009,1760177437709571904,base_link,0.45644208788871765,0.466779887676239,-0.006331970449537039,-0.25957982686429726,0.26100767650692863,-0.0013490025139992617
1760177437965903500,11010,1760177437958729344,base_link,0.9381022453308105,0.9533354043960571,-0.00033975113183259964,0.004455653814161489,-0.001955371241908476,-0.0010495675165389587
1760177438215205500,11011,1760177438208834560,base_link,1.3354994058609009,1.354480266571045,0.00932264607399702,0.37106935225979404,-0.3649994641411701,-0.0013691316787529122
1760177438466531000,11012,1760177438458947456,base_link,1.4916188716888428,1.5121363401412964,0.008051157929003239,0.29007970226570845,-0.28419573788425123,-0.0007389430086987853
1760177438717533600,11013,1760177438709056512,base_link,1.4691911935806274,1.4891674518585205,0.00022006100334692746,0.18093355259492114,-0.1753918740599259,-0.000725850152343737
1760177438967554500,11014,1760177438959164544,base_link,1.3494348526000977,1.3662184476852417,-0.004914544522762299,0.13928495237016653,-0.13321998648854588,-0.0008053537534277117
1760177439213941600,11015,1760177439209279232,base_link,1.1642616987228394,1.1753427982330322,-0.0060613807290792465,0.11028610259156392,-0.11198767688225592,-0.0012737359182680317
1760177439465890800,11016,1760177439459432064,base_link,0.9351683259010315,0.9401828050613403,-0.004164861980825663,0.03645467124541153,-0.03751348683800341,-0.0007976455110942493
1760177439715499300,11017,1760177439710539840,base_link,0.6999865174293518,0.6995452046394348,-0.0013454682193696499,-0.009220199629780695,0.006933237930846406,-0.0005029281139270706
1760177439965670800,11018,1760177439959701888,base_link,0.48787593841552734,0.4830913245677948,0.0006734100170433521,-0.038610157298815145,0.03259743663100891,-0.0008519237839492999
1760177440217204000,11019,1760177440209812992,base_link,0.310989111661911,0.3038673400878906,0.0020414148457348347,-0.05197442632124252,0.04726182868524168,-0.0007617857788662527
1760177440468953000,11020,1760177440459923584,base_link,0.17371872067451477,0.16637372970581055,0.0017702876357361674,-0.0526480687188238,0.048834265359975176,-0.0009114214185106747
1760177440719527300,11021,1760177440710098176,base_link,0.07328765839338303,0.0675615444779396,0.0013829254312440753,-0.04822165313609192,0.043054086510511576,-0.0010329905986558555
1760177440970028700,11022,1760177440960203648,base_link,0.004467537626624107,0.0025813414249569178,0.0008526030578650534,-0.03688311378607515,0.03560185236406082,-0.0012837406973443745
1760177441213693100,11023,1760177441210314240,base_link,-0.030739128589630127,-0.027334829792380333,0.0003604063531383872,-0.26542641688847707,0.26390572733173734,-0.0013974541800635086
1760177441464855500,11024,1760177441460479360,base_link,0.09030397981405258,0.09915086627006531,-0.0022220327518880367,-0.42319398416655774,0.4252189341766682,-0.0013091558392205683
1760177441715708600,11025,1760177441711584576,base_link,0.4511184096336365,0.46503543853759766,-0.0061192880384624004,-0.26073159877174795,0.26391376090954666,-0.0012105859837673386
1760177441966188300,11026,1760177441960696960,base_link,0.9364490509033203,0.9543870091438293,6.423193553928286e-05,0.010781772379364228,-0.005269738146235488,-0.0012476802594092672
1760177442217866900,11027,1760177442210814208,base_link,1.334641695022583,1.355116367340088,0.00931781530380249,0.3748801247529125,-0.37008811571784334,-0.0009668087040762877
1760177442468172200,11028,1760177442460921984,base_link,1.4899053573608398,1.5111652612686157,0.00798762496560812,0.29109006568073637,-0.28557259300045534,-0.0009337622802233921
1760177442720177900,11029,1760177442711092480,base_link,1.4652210474014282,1.4856595993041992,-1.8655495296115987e-05,0.17680516746030447,-0.16810245775645125,-0.001001130178407351
1760177442971008200,11030,1760177442961203328,base_link,1.344038486480713,1.3606904745101929,-0.004984388127923012,0.13276216634864701,-0.12908537308998505,-0.0011604904607302913
1760177443216484000,11031,1760177443211311616,base_link,1.15840744972229,1.1696155071258545,-0.006095337215811014,0.10824250329944186,-0.1071363803756376,-0.000984266376178209
1760177443465825100,11032,1760177443461473408,base_link,0.9300552606582642,0.9350942373275757,-0.004279645625501871,0.03788636651713824,-0.03616890831754485,-0.0006453205477024255
1760177443716724100,11033,1760177443711584000,base_link,0.6980516314506531,0.6970710754394531,-0.0016905490774661303,-0.012922147583588008,0.007493874339051533,-0.0005248683297900781
1760177443969069000,11034,1760177443962693824,base_link,0.48828110098838806,0.4831641912460327,0.0002359667414566502,-0.03677066543295827,0.030621678139747963,-0.0007395426678246679
1760177444218012600,11035,1760177444211867392,base_link,0.3138704001903534,0.30652427673339844,0.0016125007532536983,-0.053009550752983275,0.048476466914239846,-0.0007834901812207898
1760177444470805500,11036,1760177444461971840,base_link,0.1788729727268219,0.17132310569286346,0.0011388870188966393,-0.053988454516048605,0.050044089009217065,-0.001302454891381252
