%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1760177398437220500,1228,1760177398436863872,base_link,0,1,-35.3632619,149.1653709,607.5288082613578,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177398688075200,1229,1760177398686987776,base_link,0,1,-35.3632619,149.1653716,607.5388091562595,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177398938908900,1230,1760177398937148800,base_link,0,1,-35.3632619,149.1653719,607.5388095397884,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177399189920500,1231,1760177399187262208,base_link,0,1,-35.3632619,149.165372,607.5388096676313,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177399435552800,1232,1760177399437435264,base_link,0,1,-35.363262,149.1653721,607.5388096745301,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177399686286000,1233,1760177399687543808,base_link,0,1,-35.363262,149.1653731,607.5388109529569,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177399936798800,1234,1760177399937715072,base_link,0,1,-35.363262,149.1653757,607.5288142768534,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177400187782000,1235,1760177400188826688,base_link,0,1,-35.363262,149.1653801,607.5388199018665,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177400438789700,1236,1760177400437991296,base_link,0,1,-35.363262,149.1653855,607.5388268052185,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177400689315800,1237,1760177400688106752,base_link,0,1,-35.363262,149.1653913,607.53883421984,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177400940248100,1238,1760177400938276224,base_link,0,1,-35.363262,149.1653969,607.5388413786965,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177401190973500,1239,1760177401188386304,base_link,0,1,-35.3632619,149.1654018,607.5388477635845,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177401436680100,1240,1760177401438560128,base_link,0,1,-35.3632619,149.1654061,607.5388532604486,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177401687895700,1241,1760177401688673280,base_link,0,1,-35.3632619,149.1654094,607.5288574789375,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177401938356800,1242,1760177401938839936,base_link,0,1,-35.3632619,149.1654119,607.5288606747425,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177402189331500,1243,1760177402189957184,base_link,0,1,-35.3632619,149.1654137,607.5288629757113,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177402440002100,1244,1760177402439124096,base_link,0,1,-35.3632619,149.1654148,607.5288643818545,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177402690896100,1245,1760177402689235968,base_link,0,1,-35.3632619,149.1654155,607.5388652766711,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177402941269600,1246,1760177402939412608,base_link,0,1,-35.3632619,149.1654158,607.5388656601635,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177403191882700,1247,1760177403189518848,base_link,0,1,-35.3632619,149.1654159,607.5388657879944,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177403436866400,1248,1760177403439687808,base_link,0,1,-35.3632619,149.1654158,607.5388656601635,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177403687749200,1249,1760177403689806336,base_link,0,1,-35.363262,149.1654158,607.5388655391966,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177403938600800,1250,1760177403939966848,base_link,0,1,-35.363262,149.1654156,607.5388652835351,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177404190202400,1251,1760177404191080000,base_link,0,1,-35.363262,149.1654154,607.5388650278735,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177404440522800,1252,1760177404441250752,base_link,0,1,-35.363262,149.1654152,607.5388647722118,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177404691165000,1253,1760177404690358784,base_link,0,1,-35.363262,149.1654151,607.5388646443809,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177404942108000,1254,1760177404940530560,base_link,0,1,-35.363262,149.1654149,607.538864388719,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177405193178000,1255,1760177405190642432,base_link,0,1,-35.363262,149.1654148,607.538864260888,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177405438173300,1256,1760177405440805248,base_link,0,1,-35.363262,149.1654147,607.538864133057,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177405689300200,1257,1760177405690920448,base_link,0,1,-35.363262,149.1654146,607.538864005226,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177405939765200,1258,1760177405941085312,base_link,0,1,-35.363262,149.1654145,607.5388638773949,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177406190813100,1259,1760177406191194624,base_link,0,1,-35.363262,149.1654144,607.5388637495638,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177406442001400,1260,1760177406442368960,base_link,0,1,-35.363262,149.1654143,607.5388636217327,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177406692414700,1261,1760177406691482112,base_link,0,1,-35.363262,149.1654142,607.5388634939015,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177406943234400,1262,1760177406941648768,base_link,0,1,-35.363262,149.1654142,607.5388634939015,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177407194462900,1263,1760177407191765504,base_link,0,1,-35.363262,149.1654141,607.5388633660704,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177407439504100,1264,1760177407441932160,base_link,0,1,-35.3632619,149.1654139,607.538863231374,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177407690376700,1265,1760177407692043520,base_link,0,1,-35.3632615,149.1654127,607.538862181258,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177407941088000,1266,1760177407942225024,base_link,0,1,-35.3632604,149.1654099,607.5288599325596,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177408192135400,1267,1760177408192331008,base_link,0,1,-35.3632588,149.1654056,607.5288563710969,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177408442903900,1268,1760177408443499712,base_link,0,1,-35.3632567,149.1653996,607.5388512410711,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177408693996900,1269,1760177408692618496,base_link,0,1,-35.3632539,149.1653921,607.5388450398909,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177408944496200,1270,1760177408942779008,base_link,0,1,-35.3632506,149.1653831,607.5388375254181,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177409195469700,1271,1760177409192892160,base_link,0,1,-35.3632469,149.1653731,607.5388292157033,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
1760177409441043800,1272,1760177409443062400,base_link,0,1,-35.3632431,149.1653628,607.5388206427128,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,2
