%time,field.data
1760177470728666700,4.013
1760177470979466900,4.012
1760177471224462000,4.011
1760177471475530100,4.009
1760177471726323400,4.008
1760177471977390000,4.008
1760177472228128200,4.008
1760177472478836100,4.009
1760177472729749500,4.009
1760177472980574900,4.009
1760177473226356600,4.01
1760177473476746700,4.01
1760177473727200000,4.009
1760177473978584600,4.008
1760177474229515700,4.01
1760177474480095300,4.012
1760177474730257000,4.013
1760177474976179200,4.012
1760177475226884900,4.011
1760177475477767800,4.009
1760177475728518000,4.008
1760177475979689800,4.008
1760177476230384700,4.008
1760177476481161600,4.009
1760177476732752700,4.009
1760177476977469300,4.009
1760177477227926300,4.01
1760177477478811200,4.01
1760177477729413600,4.009
1760177477980520800,4.008
1760177478231070000,4.01
1760177478482057100,4.012
1760177478733350600,4.013
1760177478978927500,4.012
1760177479229003600,4.011
1760177479479733600,4.009
1760177479730708600,4.008
1760177479981748700,4.008
1760177480232485100,4.008
1760177480483459700,4.009
1760177480734473400,4.009
1760177480979542500,4.009
1760177481230114900,4.01
1760177481480935600,4.01
1760177481731707700,4.009
1760177481982846300,4.008
1760177482233462800,4.01
1760177482484405800,4.012
1760177482735224300,4.013
1760177482980789500,4.012
1760177483231802800,4.011
1760177483482310000,4.01
1760177483733052600,4.009
1760177483984038900,4.009
1760177484235381700,4.009
1760177484485952100,4.009
1760177484736260000,4.009
1760177484981423900,4.01
1760177485232680100,4.01
1760177485483641400,4.01
1760177485734521000,4.009
1760177485985189300,4.009
1760177486235785900,4.011
1760177486486707100,4.013
1760177486737688700,4.014
1760177486983438900,4.013
1760177487233998500,4.011
1760177487485211500,4.009
1760177487735632400,4.008
1760177487985963900,4.008
1760177488236878400,4.008
1760177488487817200,4.009
1760177488738387800,4.009
1760177488984552800,4.01
1760177489234622400,4.01
1760177489485540000,4.01
1760177489736103900,4.01
1760177489987456800,4.01
1760177490238186500,4.011
1760177490488661300,4.011
1760177490739629700,4.011
1760177490985517500,4.011
1760177491235928400,4.011
1760177491487116700,4.011
1760177491737400700,4.011
1760177491988545400,4.011
1760177492238948200,4.011
1760177492489942500,4.011
1760177492740944100,4.011
1760177492986039900,4.011
1760177493236534200,4.011
1760177493488020300,4.011
1760177493738883700,4.011
1760177493989699800,4.011
1760177494240135100,4.011
1760177494491077000,4.011
1760177494741935200,4.011
1760177494987114100,4.011
1760177495237860000,4.01
1760177495489038800,4.01
1760177495739742400,4.01
1760177495990904600,4.01
1760177496241327100,4.01
1760177496492367600,4.009
1760177496743160600,4.009
1760177496988580400,4.009
1760177497238919900,4.009
1760177497490303100,4.009
1760177497740765600,4.009
1760177497991566000,4.009
1760177498242501100,4.009
1760177498493434600,4.009
1760177498744204400,4.009
