%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.temperature,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.cell_voltage0,field.location,field.serial_number
1758482340927624200,4642,1758482340927400400,,12.600000381469727,0.0,-27.25,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482341173775200,4643,1758482341173578100,,12.600000381469727,0.0,-26.979999542236328,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482341423267300,4644,1758482341423035400,,12.600000381469727,0.0,-26.809999465942383,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482341675515500,4645,1758482341675289800,,12.600000381469727,0.0,-26.649999618530273,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482341925834400,4646,1758482341925597900,,12.600000381469727,0.0,-26.53999900817871,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482342177312500,4647,1758482342177141900,,12.600000381469727,0.0,-25.760000228881836,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482342427796800,4648,1758482342427582200,,12.600000381469727,0.0,-27.03999900817871,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482342679245500,4649,1758482342679110200,,12.600000381469727,0.0,-28.60999870300293,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482342930913300,4650,1758482342930664200,,12.600000381469727,0.0,-29.619998931884766,nan,nan,nan,0.9899999499320984,2,0,0,1,12.600000381469727,id0,
1758482343174154100,4651,1758482343173926900,,12.600000381469727,0.0,-29.779998779296875,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482343424672600,4652,1758482343424497200,,12.600000381469727,0.0,-28.90999984741211,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482343675447900,4653,1758482343675212100,,12.600000381469727,0.0,-28.35999870300293,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482343927249800,4654,1758482343926991600,,12.600000381469727,0.0,-28.170000076293945,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482344177445300,4655,1758482344177243000,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482344428122700,4656,1758482344427927500,,12.600000381469727,0.0,-28.15999984741211,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482344679427200,4657,1758482344679188900,,12.600000381469727,0.0,-28.189998626708984,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482344930695100,4658,1758482344930466300,,12.600000381469727,0.0,-28.260000228881836,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482345176220700,4659,1758482345175979400,,12.600000381469727,0.0,-28.260000228881836,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482345425955300,4660,1758482345425732500,,12.600000381469727,0.0,-28.209999084472656,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482345676969000,4661,1758482345676774800,,12.600000381469727,0.0,-28.229999542236328,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482345928280500,4662,1758482345928073700,,12.600000381469727,0.0,-28.15999984741211,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482346181262700,4663,1758482346180996800,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482346429396800,4664,1758482346429160100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482346681842000,4665,1758482346681666500,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482346932877800,4666,1758482346932697200,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482347175995900,4667,1758482347175782200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9799999594688416,2,0,0,1,12.600000381469727,id0,
1758482347427736600,4668,1758482347427504300,,12.600000381469727,0.0,-28.43000030517578,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482347678680500,4669,1758482347678519000,,12.600000381469727,0.0,-28.349998474121094,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482347929245000,4670,1758482347929085900,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482348180786600,4671,1758482348180618000,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482348430411900,4672,1758482348430170200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482348682175700,4673,1758482348681966700,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482348932866800,4674,1758482348932692400,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482349179362800,4675,1758482349179115200,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482349429028500,4676,1758482349428771500,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482349680676100,4677,1758482349680486400,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482349930718300,4678,1758482349930477500,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
1758482350182369300,4679,1758482350182170100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9699999690055847,2,0,0,1,12.600000381469727,id0,
